,kecamatan,puskesmas,kode_puskesmas,kelurahan,alamat_puskesmas,tahun_berdiri,no_ijin,masa_berlaku_ijin,dasar,madya,utama,paripurna,no_penetapan,tgl_penetapan,keterangan
,Lakarsantri,Lidah Kulon,P3578140202,Lidah Kulon,Jl. Raya Menganti Lidah Kulon No. 5,,503.445 / 8 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
7,Sambikerep,Lontar,P3578141201,Lontar,Jl. Raya Lontar No. 26,,503.445 / 9 / PKM / 436.6.3 / IX / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Sambikerep,Made,P3578141203,Made,"Jl. Raya Made RT I, RW IV",,503.445 / 57 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
2,Tandes,Manukan Kulon,P3578150101,Manukan Kulon,Jl. Manukan Dalam No. 18 A,,503.445 / 3 / PKM-RIUB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Rungkut,Medokan Ayu,P3578070102,Medokan Ayu,Jl. Medokan Ayu III D / 31,,503.445 / 34 / PKM-RIB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,1,,TU.01.03/VI.14/2626/2016,11 November 2016,
22,Sukolilo,Menur,P3578080201,Menur Pumpungan,Jl. Manyar Rejo I / No. 35,,503.445 / 37 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Gubeng,Mojo,P3578100202,Mojo,Jl. Mojo Klanggru Wetan II / No. 11,,503.445 / 32 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Krembangan,Morokrembangan,P3578260203,Morokrembangan,Jl. Tambak Asih XIII /7,,503.445 / 59 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
23,Mulyorejo,Mulyorejo,P3578090201,Mulyorejo,Jl. Mulyorejo Utara No. 201,,503.445 / 39 / PKM-RIB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Wonokromo,Ngagelrejo,P3578110203,Ngagel Rejo,Jl. Ngagel Dadi III / 17,,503.445 / 46 / PKM / 436.6.3 /  IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Tambaksari,Pacar Keling,P3578200202,Pacarkeling,Jl. Jolotundo Baru III / 16,,503.445 / 29 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Sawahan,Pakis,P3578120102,Pakis ,Jl. Kembang Kuning Makam No.6,,503.445 / 42 / PKM-RIB / 436.6.3 /  IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
13,Semampir,Pegirian,P3578230201,Pegirian,Jl. Karang Tembok No.39,,503.445 / 20 / PKM / 436.6.3 / VII  / 2015,31 Juli 2015 s/d 05 September 2018,,,1,,TU.01.03/VI.14/37/2017,4-Jan-17,
8,Genteng,Peneleh,P3578190201,Peneleh,Jl. Makam Peneleh No. 35,,503.445 / 11 / PKM / 436.6.3 / IX / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
12,Pabean Cantikan,Perak Timur,P3578240201,Perak Timur,Jl. Jakarta No. 9,,503.445 / 19 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
18,Gubeng,Pucangsewu,P3578100201,Pucang Sewu,Jl. Pucang Anom Timur 72,,503.445 / 31 / PKM / 436.6.3 / IX / 2013,05 September 2013 s/d 05 September 2018,,,1,,TU.01.03/VI.14/818/2016,,
,Sawahan,Putat Jaya,P3578170202,Putat Jaya,Jl. Kupang Gunung V Raya No. 16 ,,503.445 / 41 / PKM / 436.6.3 / VI / 2016,01 Juni 2016 s/d 05 September 2018,,,,,,,nilai belum keluar
17,Tambaksari,Rangkah,P3578200201,Rangkah,Jl. Rangkah VII / 94,,503.445 / 28 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Semampir,Sawah Pulo,,Ujung,Jl. Sawah Pulo Lapangan No.2,,503.445 / 63 / PKM / 436.6.3 / X / 2015 ,12 Oktober 2015 s/d 12 Oktober 2020,,,,,,,belum
24,Sawahan,Sawahan,P3578170201,Sawahan,Jl. Raya Arjuno 119,,503.445 / 40 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,1,,,TU.01.03/VI.14/2411/2016,31-Oct-16,
4,Benowo,Sememi,P3578280101,Sememi,Jl. Raya Kendung,,503.445 / 6 / PKM-RIB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,1,,,
,Wonocolo,Sidosermo,P3578040202,Sidosermo,Jl. Sidosermo Gg.Damri No. 51,,503.445 / 52 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Semampir,Sidotopo,P3578230102,Sidotopo,Jl. Sumbo III / 2,,503.445 / 21 / PKM / 436.6.3 / IX  / 2013,03 Pebruari 2016 s/d 03 Pebruari 2021 ,,,,,,,belum
,Kenjeran,Sidotopo Wetan,P3578210202,Sidotopo Wetan,Jl. Randu No. 7,,503.445 / 26 / PKM-RIB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Simokerto,Simolawang,P3578220202,Simolawang,Jl. Simolawang II Barat No. 45 A,,503.445 / 18 / PKM / 436.6.3 / IX / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Sukomanunggal,Simomulyo,P3578160102,Simomulyo,Jl. Gumuk Bogoh No. 1,,503.445 / 2 / PKM-RIUB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,1,,TU.01.03/VI.14/2411/2016,31-Oct-16,
,Wonocolo,Siwalankerto,P3578040203,Siwalankerto,Jl. Siwalankerto No. 134,,503.445 / 54 / PKM-RIUB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Kenjeran,Tambak Wedi,P3578210204,Tambak Wedi,Jl. Tambak Wedi Baru No. 3,,503.445 / 60 / PKM  - PJ / 436.6.3 / VII  / 2015,6 Juli 2015 s/d 05 September 2018,,,,,,,belum
11,Simokerto,Tambakrejo,P3578220201,Tambakrejo,Jl. Ngaglik No. 87,,503.445 / 17 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,1,,,,,
16,Kenjeran,Tanah Kali Kedinding,P3578210101,Kali Kedinding,Jl. Kedung Cowek 226,,503.445 / 25 / PKM-RIB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,1,,,TU.01.03/VI.14/2411/2016,31-Oct-16,
1,Sukomanunggal,Tanjungsari,P3578160101,Tanjungsari,Jl. Raya Tanjungsari 116,,503.445 / 1 / PKM-RIUB / 436.6.3 / VIII / 2016,31 Agustus 2016  s/d 05 September 2018,,,,,,,nilai belum keluar
10,Bubutan,Tembok Dukuh,P3578250201,Tembok Dukuh,Jl. Kalibutuh No. 26,,503.445 / 15 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
20,Tenggilis,Tenggilis,P3578050201,Tenggilis Mejoyo,Jl. Rungkut Mejoyo Selatan IV Blok P / 48,,503.445 / 35 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,1,,TU.01.03/VI.14/73/2017,31-Jan-17,
28,Wiyung,Wiyung,P3578130101,Wiyung,Jl. Menganti Wiyung Gg. Pasar No.20,,503.445 / 49 / PKM-RIB / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
,Wonokromo,Wonokromo,P3578110202,Wonokromo,Jl. Karang Rejo VI/4,,503.445 / 45 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,1,,,TU.01.03/VI.14/73/2017,31-Jan-17,
,Semampir,Wonokusumo,P3578230203,Wonokusumo,Jl. Wonokusumo Tengah No. 55,,503.445 / 22 / PKM / 436.6.3 / IX  / 2013,05 September 2013 s/d 05 September 2018,,,,,,,belum
